2026-07-07 14:52:39 | INFO | __main__ | profiler.py:37 | Dataset loaded successfully: C:\Desktop\agentic-ml-audit-copilot\data\sample\student_mark.csv
2026-07-07 14:52:39 | INFO | __main__ | profiler.py:38 | Dataset shape: (30, 12)
2026-07-07 14:54:06 | INFO | __main__ | profiler.py:37 | Dataset loaded successfully: C:\Desktop\agentic-ml-audit-copilot\data\sample\student_mark.csv
2026-07-07 14:54:06 | INFO | __main__ | profiler.py:38 | Dataset shape: (30, 12)
2026-07-07 14:54:06 | INFO | __main__ | profiler.py:145 | Dataset profiling completed
2026-07-07 14:58:07 | INFO | __main__ | profiler.py:37 | Dataset loaded successfully: C:\Desktop\agentic-ml-audit-copilot\data\sample\student_mark.csv
2026-07-07 14:58:07 | INFO | __main__ | profiler.py:38 | Dataset shape: (30, 12)
2026-07-07 14:58:07 | INFO | __main__ | profiler.py:145 | Dataset profiling completed
2026-07-07 15:02:02 | INFO | src.audit.profiler | profiler.py:37 | Dataset loaded successfully: C:\Desktop\agentic-ml-audit-copilot\data\sample\student_mark.csv
2026-07-07 15:02:02 | INFO | src.audit.profiler | profiler.py:38 | Dataset shape: (30, 12)
2026-07-07 15:02:02 | INFO | __main__ | problem_type.py:68 | Problem type detected: multiclass_classification
2026-07-07 15:08:54 | INFO | src.audit.profiler | profiler.py:37 | Dataset loaded successfully: C:\Desktop\agentic-ml-audit-copilot\data\sample\student_mark.csv
2026-07-07 15:08:54 | INFO | src.audit.profiler | profiler.py:38 | Dataset shape: (30, 12)
2026-07-07 15:08:54 | INFO | __main__ | data_quality.py:235 | Data quality audit completed
2026-07-07 15:17:08 | INFO | src.audit.profiler | profiler.py:37 | Dataset loaded successfully: C:\Desktop\agentic-ml-audit-copilot\data\sample\student_mark.csv
2026-07-07 15:17:08 | INFO | src.audit.profiler | profiler.py:38 | Dataset shape: (30, 12)
2026-07-07 15:17:08 | INFO | __main__ | leakage.py:269 | Leakage check completed
2026-07-07 15:20:49 | INFO | __main__ | metric_recommender.py:22 | Starting metric recommendation
2026-07-07 15:20:49 | INFO | __main__ | metric_recommender.py:84 | Metric recommendation completed successfully
2026-07-07 15:22:38 | INFO | __main__ | metric_recommender.py:22 | Starting metric recommendation
2026-07-07 15:22:38 | INFO | __main__ | metric_recommender.py:84 | Metric recommendation completed successfully
2026-07-07 15:27:18 | INFO | __main__ | class_imbalance.py:22 | Starting class imbalance detection
2026-07-07 15:27:18 | INFO | __main__ | class_imbalance.py:87 | Class imbalance detection completed successfully
2026-07-07 15:33:39 | INFO | __main__ | preprocessing.py:34 | Starting preprocessing pipeline creation
2026-07-07 15:33:39 | INFO | __main__ | preprocessing.py:80 | Preprocessing pipeline created successfully
2026-07-07 15:33:39 | INFO | __main__ | preprocessing.py:133 | Starting train-test split
2026-07-07 15:33:39 | INFO | __main__ | preprocessing.py:97 | Splitting features and target
2026-07-07 15:33:39 | ERROR | __main__ | preprocessing.py:164 | Train-test split failed: The test_size = 1 should be greater or equal to the number of classes = 2
2026-07-07 15:35:58 | INFO | __main__ | preprocessing.py:34 | Starting preprocessing pipeline creation
2026-07-07 15:35:58 | INFO | __main__ | preprocessing.py:80 | Preprocessing pipeline created successfully
2026-07-07 15:35:58 | INFO | __main__ | preprocessing.py:133 | Starting train-test split
2026-07-07 15:35:58 | INFO | __main__ | preprocessing.py:97 | Splitting features and target
2026-07-07 15:35:58 | INFO | __main__ | preprocessing.py:165 | Train-test split completed successfully
2026-07-07 15:42:42 | INFO | __main__ | baseline_models.py:41 | Starting baseline model training
2026-07-07 15:42:42 | INFO | src.audit.preprocessing | preprocessing.py:34 | Starting preprocessing pipeline creation
2026-07-07 15:42:42 | INFO | src.audit.preprocessing | preprocessing.py:80 | Preprocessing pipeline created successfully
2026-07-07 15:42:42 | INFO | src.audit.preprocessing | preprocessing.py:133 | Starting train-test split
2026-07-07 15:42:42 | INFO | src.audit.preprocessing | preprocessing.py:97 | Splitting features and target
2026-07-07 15:42:43 | INFO | src.audit.preprocessing | preprocessing.py:165 | Train-test split completed successfully
2026-07-07 15:42:43 | INFO | __main__ | baseline_models.py:69 | Training baseline model: Logistic Regression
2026-07-07 15:42:43 | ERROR | __main__ | baseline_models.py:126 | Baseline model training failed: pos_label=1 is not a valid label. It should be one of ['A' 'B']
2026-07-07 15:45:15 | INFO | __main__ | baseline_models.py:41 | Starting baseline model training
2026-07-07 15:45:15 | INFO | src.audit.preprocessing | preprocessing.py:34 | Starting preprocessing pipeline creation
2026-07-07 15:45:15 | INFO | src.audit.preprocessing | preprocessing.py:80 | Preprocessing pipeline created successfully
2026-07-07 15:45:15 | INFO | src.audit.preprocessing | preprocessing.py:133 | Starting train-test split
2026-07-07 15:45:15 | INFO | src.audit.preprocessing | preprocessing.py:97 | Splitting features and target
2026-07-07 15:45:15 | INFO | src.audit.preprocessing | preprocessing.py:165 | Train-test split completed successfully
2026-07-07 15:45:15 | INFO | __main__ | baseline_models.py:69 | Training baseline model: Logistic Regression
2026-07-07 15:45:15 | INFO | __main__ | baseline_models.py:103 | Completed model: Logistic Regression
2026-07-07 15:45:15 | INFO | __main__ | baseline_models.py:69 | Training baseline model: Random Forest Classifier
2026-07-07 15:45:16 | INFO | __main__ | baseline_models.py:103 | Completed model: Random Forest Classifier
2026-07-07 15:45:16 | INFO | __main__ | baseline_models.py:122 | Baseline model training completed successfully
2026-07-07 15:52:42 | INFO | __main__ | mlflow_tracker.py:22 | Starting MLflow tracking
2026-07-07 15:52:42 | INFO | __main__ | mlflow_tracker.py:38 | Logging MLflow run for model: Logistic Regression
2026-07-07 15:52:43 | INFO | __main__ | mlflow_tracker.py:38 | Logging MLflow run for model: Random Forest Classifier
2026-07-07 15:52:43 | INFO | __main__ | mlflow_tracker.py:64 | MLflow tracking completed successfully
2026-07-07 16:07:25 | INFO | __main__ | workflow.py:174 | Starting Agentic ML audit workflow
2026-07-07 16:07:25 | INFO | __main__ | workflow.py:39 | Workflow node started: load_dataset
2026-07-07 16:07:25 | INFO | __main__ | workflow.py:52 | Workflow node started: profile_dataset
2026-07-07 16:07:25 | ERROR | __main__ | workflow.py:190 | Agentic ML audit workflow failed: profile_dataset() got an unexpected keyword argument 'file_path'
2026-07-07 16:11:40 | INFO | __main__ | workflow.py:173 | Starting Agentic ML audit workflow
2026-07-07 16:11:40 | ERROR | __main__ | workflow.py:189 | Agentic ML audit workflow failed: name 'problem_type_node' is not defined
2026-07-07 16:16:14 | INFO | __main__ | workflow.py:174 | Starting Agentic ML audit workflow
2026-07-07 16:16:14 | INFO | __main__ | workflow.py:39 | Workflow node started: load_dataset
